date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:54:56	2740/2740	---M-Z	200	added ('OK')	text/html	etag:%229d07513d085c828c53e3b2cdeaa8da8e-ssl-df%22	https://price-shares.online/password.html	C:/My%20Web%20Sites/priceshares2/price-shares.online/password.html	(from )
03:54:57	1449/1449	---MCZ	404	error ('Not%20Found')	text/html	etag:1644192869-ssl-df	https://price-shares.online/robots.txt		(from )
03:54:58	25254/25254	---M-Z	200	added ('OK')	text/css	etag:%22bdfb5e05bf3eba32adf1414afa085e1a-ssl-df%22	https://price-shares.online/build/css/intlTelInput.css	C:/My%20Web%20Sites/priceshares2/price-shares.online/build/css/intlTelInput.css	(from https://price-shares.online/password.html)
03:54:59	863/863	---M--	200	added ('OK')	text/css	etag:%2209e1ebd65a92a168b033b785f127f4ae-ssl%22	https://price-shares.online/build/css/demo.css	C:/My%20Web%20Sites/priceshares2/price-shares.online/build/css/demo.css	(from https://price-shares.online/password.html)
03:55:00	2754/2754	---M-Z	200	added ('OK')	text/css	etag:%22f6e5433c245a5bd6b964509e3be3d703-ssl-df%22	https://price-shares.online/sstyle.css	C:/My%20Web%20Sites/priceshares2/price-shares.online/sstyle.css	(from https://price-shares.online/password.html)
03:55:01	60859/60859	---M-Z	200	added ('OK')	text/css	etag:W/%22edbb-Du3MPQ7GnRobCfGvnAP4Uqb5QVI%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/bootstrap-icons.css	C:/My%20Web%20Sites/priceshares2/cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/bootstrap-icons.css	(from https://price-shares.online/password.html)
03:55:02	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/priceshares2/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://price-shares.online/password.html)
03:55:03	2299/2299	---M-Z	200	added ('OK')	text/css	etag:%2286ca03de74fece20d380981ae9cafc35-ssl-df%22	https://price-shares.online/password.css	C:/My%20Web%20Sites/priceshares2/price-shares.online/password.css	(from https://price-shares.online/password.html)
03:55:07	11025/11025	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2002%20Mar%202022%2011:55:03%20GMT	https://kit.fontawesome.com/ae0531fa65.js	C:/My%20Web%20Sites/priceshares2/kit.fontawesome.com/ae0531fa65.js	(from https://price-shares.online/password.html)
03:55:08	58297/58297	---MCZ	200	added ('OK')	text/css	etag:W/%22accdbde3b79ab05345137cafe7201b9d%22	https://unicons.iconscout.com/release/v4.0.0/css/line.css	C:/My%20Web%20Sites/priceshares2/unicons.iconscout.com/release/v4.0.0/css/line.css	(from https://price-shares.online/password.html)
